,FileName,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,mv89psg6zh4_33_46,A bird in a sink keeps getting under the running water from a faucet.,A bird is bathing in a sink.,A bird is splashing around under a running faucet.,A bird is bathing in a sink.,A bird is standing in a sink drinking water that is pouring out of the facet.,A faucet is running while a bird stands in the sink below.,A bird is playing in a sink with running water.,A bird is playing in tap water.,A bird is bathing in the sink.,A bird is taking a bath.,A bird is taking a shower in a sink.,A bird is showering in the sink.,The bird is taking a bath under the faucet.,A parakeet is taking a shower in a sink.,A bird gets washed.,A bird is having a bath in the kitchen sink.,A bird is bathing in a sink under running water.,the bird is drinking water,A bird walks under a running tap in a sink.,a parrot is playing inside the wash basin.,a bird in a sink n playing with water,A bird is playing in a sink.,A cockatiel in a kitchen sink playing under the running water.,A bird is taking a bath in a sink.,A bird  is playing in the sink.,The white birt took a bath in the sink.,a bird is playing,The bird is taking a bath in the sink.,A bird is drinking out of the sink.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ZbzDGXEwtGc_6_15,a plane flying in the sky,A commercial plane flying.,A jet is flying.,A large jet is flying through the sky.,A passenger plane flies through the air.,A plane flies through the air.,A plane is flying in the air.,A plane is flying.,A South African Airways plane is flying in a blue sky.,An aeroplane is flying in the air.,An airplane is flying in the air.,An airplane is flying in the clear sky.,An airplane is flying in the sky.,An airplane is flying.,An airplane is flying.,The plane flew in the sky.,The plane is soaring through the air.,The South African jet banked itself in the air.,The airplane is flying in air,An airplane flying.,A South African airplane flying sideways in the sky.,"the Avión, airplane is flying high in the sky.",A plane is flying.,An aeroplane flying in the sky.,An aeroplane is flying.,An aeroplane is flying.,A flight is flying in the sky.,A South African flight is flying.,An airplane is flying with blue sky in the background.,AEROPLANE IS FLING IN MID-AIR.,An Airplane is flying in the air.,South African aeroplane js moving in the air,a plane is flying in air,A commercial jet if flying,an airplane flying in the sky.,An airoplane is flying in the sky,A flight is flying.,A clip showing an south african airline plane flying in air.,A South African airplane is flying.,an airplane flying in the sky,An airplane is flying through the air.,An airplane is flying.,An plane is flying in the sky.,a flying airplane,A airplane in the air,A south american plane takes a turn in air.,The plane is soaring through the air.,An avion airoplane is flying,a aeroplane is flying,A plain is fly in the sky.,Avion airplane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,jbzaMtPYtl8_48_58,Two men are rolling huge tires sideways down a street while spectators watch.,Two men are pushing large tires.,Men are flipping large tires in a race.,Two men are moving tires.,Men are rolling big tyre.,Two men are pushing large tires.,Men are tumbling tires in a race.,Two men push monstrous tires along the ground.,Men are pushing large tires.,Men are moving tires.,Two men are flipping over oversized tires.,"In a race held, each of the two men is moving a huge tire by tumbling them repeatedly on a road lined with people.",Two people flipped tractor tires in a race.,Two men each flip a huge tire down the pavement.,The men are moving the huge tires.,Two men compete in a tire rolling race.,Two people flipped tractor tires in a race.,the man is lifting the weight.,men are flipping tires.,two strongest man playing a game with tyre,Men are turning tires over.,Men are pushing large tires.,two men are rolling the big Tyre.,Two men are moving tyres.,A strong person pulling a big Tyre.,Men are flipping large tires.,Men are flipping tires.,Men are rolling tyres.,Two men are rolling tyres.,Two men race by flipping a large truck tyre.,The men are rolling huge tires in a race.,Two men are rolling tires.,A man is lifting and pushing a tyre.,Two men are flipping heavy tires.,Some persons are lift the heavy tyers,the person is doing the something,TWO MEN ARE ROLLING HEAVY TRUCK'S TYRE.,How is the strongest man.,A short clip about a strongest man at Southern California  Jeff holder who is moving the tyre and prooving oneself .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,g36ho6UrBz0_5_20,a man playing a guitar outside his house,A man is playing a guitar on the patio.,A man is playing a guitar seated outside a restaurant.,A man is playing a guitar while sitting down.,A man is playing a guitar.,A man is playing a guitar.,A man is playing a guitar.,A man is playing an acoustic guitar outdoors.,A man is playing guitar.,A man is playing the guitar.,A man plays a guitar.,A man plays guitar.,A person is performing with his guitar.,A seated man plays guitar.,A sitting man is playing guitar.,The man is playing the guitar.,The man is plying his guitar on the patio.,The man played his guitar.,A man is playing an electric guitar.,A man is playing guitar.,A man is playing guitar outside of a store.,The man is playing the guitar.,A man is playing a guitar.,A man is playing a guitar.,A man plays a guitar.,The man is playing music on a guitar sitting on a stool.,A man is playing guitar.,a man playing guitar,A man playing an instrument.,A man is playing  music through Fiddle,A man is playing the guitar.,A man playing guitar.,A man playing the guitar.,An old man is playing guitar.,A man is playing a guitar.,A man is playing a guitar.,A man is playing a guitar outside.,A man is enjoying himself as he plays the guitar.,A person is playing guitar righ now,A man playing electric gutar at a party.,A man playing his electric guitar at a home party outside.,a man playing a guitar,A man is playing a guitar.,A guy is playing guitar.,A man is playing a guitar.,A man is playing a guitar.,A man is playing a guitar outside.,A man is happily playing guitar,a man is playing a guitar,A man is playing the guitar.,The man played his guitar at the party.,A band is performing on a stage outside.,A man is sitting outdoors playing an electric guitar.,A man is playing a guitar outside.,The man is playing the guitar.,A man is playing the guitar.,A man is playing an electric guitar outside a home.,He is playing guitar and not interested in any drink,A man plays the guitar.,A man is playing violin.,A man strummed his guitar on his patio.,,,,,,,,,,,,,,,,,,,,
4,04Gt01vatkk_248_265,A woman cuts an oion.,A girl is cutting an onion.,A girl is cutting an onion.,A girl is cutting onion into small pieces.,A girl is dicing up an onion.,A woman chops a white onion.,A woman cuts and dices an onion.,A woman is chopping an onion into small pieces.,A woman is chopping an onion slice into fine pieces.,A woman is cutting onions.,A woman is slicing a onion.,A Woman is slicing some vegetables.,A woman slices an onion.,An onion is chopped up.,The cook is dicing onions.,The girl is slicing an onion.,A woman is cutting the tomato into pieces,A woman is slicing an onion.,A young woman cutting an onion to make salsa.,A girl is chopping onions.,A girl is slicing an onion.,A lady is chopping onions.,A woman cuts an onion.,A woman cutting an onion.,A woman in a red dress chopping tomatoes.,A woman is chopping onions.,A woman is chopping onions.,A woman is chopping up onions.,A woman is cutting an onion.,A woman is cutting onions.,A woman is dicing an onion.,A woman is dicing an onion.,A woman is slicing a salsa.,A woman is slicing an onion.,A woman is slicing an onion.,A woman is slicing and chopping up an onion.,A woman is slicing and dicing an onion,A woman is slicing some tomatoes.,A woman is slicing some vegetables,A woman is slicing some vegitable.,A woman is slicing then dicing an onion,A woman is slicing vegetables.,The girl sliced an onion.,The girl sliced an onion.,The lady is slicing onions.,The woman is dicing an onion.,Woman teaches on how to cook salsa.,A lady is cutting onion with the knife.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,buJ5HDCinrM_150_166,A woman is putting make up on her face.,A woman is putting makeup on her face.,A woman is putting on makeup.,A woman is doing facial.,A woman is applying makeup to her face.,A woman is applying cosmetics to her face.,A woman explains how to apply makeup.,A woman is applying makeup.,A woman applies a concealer to the lower portion of her right cheek and blends it using her fingers to get a chiseled look.,a lady rubbing makeup on,The lade applied foundation.,A woman applies make up to her face.,The woman is putting on makeup.,A woman is applying makeup.,A lady put foundation on her cheek.,A lady showing her face and putting makeup,A girl is standing .,a lady is doing make-up.,A woman applies makeup to her jaw line.,A woman demonstrates applying facial products.,A woman demonstrates how to put on make-up.,a woman telling how to do makeup to face.,A women showing how to makeup,Kim Kardashian Smokey Eyes,the girl is explaine the healthcare,woman instructing how to do makeup,A girl doing make up.,A girl illustration on applying makeup.,a kim kardashian mokey eyes,A Lady giving the beauty tips about the face.,a lady is doing make up on her face.,A lady is doing make-up.,A lady is giving tips on how to do the make up.,A woman applies make-up to her face.,A woman demonstrates how to apply makeup.,A woman doing some sort of makeup on her face.,A woman is applying face makeup.,A woman is applying face makeup.,A woman is applying make up on her face.,A woman is applying makeup to her face.,A woman is applying makeup to her face.,A woman is applying makeup.,A woman is applying something on her face.,A woman is giving makeup advice.,A woman is making up her face.,A woman is placing makeup on her face.,A woman is putting on makeup.,A woman is putting on makeup.,A woman is putting on makeup.,A woman is showing how to apply foundation.,A woman is showing makeup tips.,A woman shows how to create a Kim Kardasian makeover look.,A young woman's beautifully made-up eyes.,KIm kardashian makeup on face,The woman is applying makeup.,A GIRL IS TEACHING ABOUT SOMEONE.,A LADY IS DOING MAKE UP.,AN WOMEN EYES,the girl is giving speech,A lady is doing make up!,"This video will show you how to do a complete facial makeover, so you can look like a star in no time!",,,,,,,,,,,,,,,,,,,,
6,M_TP6UTrh30_343_358,A band is performing for a large crowd.,A band is performing on a stage outside.,A band is performing out stage.,A band is playing for a group of people.,A band is playing outside.,A band is playing to a large crowd.,A band on stage is playing in front of a large crowd.,A band performs on a stage.,A band plays for a large crowd.,A band plays in front of a huge crowd.,A band plays on stage outside.,A rock band is performing on stage in front of a large gathering of people.,Men are playing music in the street.,People are playing music.,The band performed for a large outside crowd.,The band performed outside for a large crowd.,The band was playing in front of an audience.,the some boys are sing and dancing,A band plays an outdoor concert.,A view of a rock band.,A band is playing on a stage.,A band is playing onstage.,A band is performing.,A band is performing.,A band is performing on stage in front of a large crowd.,A band is performing on a stage outside.,A band is playing on a stage.,A band performing on a stage,"A band is performing onstage, outside.",Cool band is playng on a stage outside.,A band is performing in frint of a huge crowd.,ALL PEOPLE PLAYING MUSIC INSTRUMENTS.,A short clip about Rock movie.,People are at a concert.,A man is playing a guitar.,A crowd of people enjoying a musical concert,A short clip from the rockon showing the stars in it.,A musical group givinig his rock perfomance on stage.,peoples singing song,A rock band plays music on stage.,A band is performing outdoors surrounded by a large crowd.,group of boys playing instruments,rock the entire boys group,A ban is performing on stage outside.,A crowd dances while a rock band plays.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8mSUD7JGNO0_174_181,A woman gallops on a horse.,A girl is riding a horse.,A girl is riding a horse.,A girl is riding a horse.,A girl rode a horse in the barn.,A lady is riding a horse in a barn.,A person is keeping their horse at a trot.,A person is riding a horse along the perimeter.,A woman is galloping a horse around an inside arena.,A woman is riding a horse in an enlosed covered area.,A woman is riding a horse.,A woman is riding a horse.,A woman is riding on a horse.,A woman is riding on a horse.,The horse and rider trotted around the barn.,The woman is riding a horse.,a girl is riding a horse,a girl is riding in the horse.,A girl is sitting on the black horse.,a lady riding a horse,a man is rading in a horse,A men walking on house,A person is riding on horse,A woman is riding a horse.,Few guys are driving the horses.,Fiona My best friend,one lady riding on horse,Someone is riding a horse.,the man is riding a horse.,A boy riding a horse in horse stable.,A girl is riding a horse,A girl is riding a horse inside a barn,A girl is riding a horse.,A girl is riding a horse.,A girl riding a horse.,a girl riding with a horse,A horse is driven by a woman.,a lady is riding a horse.,A man is jogging on the horse,A man is riding on a horse.,A man is riding on the horse.,A man rides a horse in the barn.,a man riding horse.,A person is riding a horse inside a large building.,A person is riding a horse.,A person is riding a horse.,A person rides a horse in stable.,A woman is riding a horse beside a wall.,A woman is riding a horse in a barn.,A woman is riding a horse.,A woman is riding a horse.,A woman is riding a horse.,A woman is riding around on a horse.,A woman is riding on a horse.,A woman rides a horse inside a barn.,the person is raiding the horse,A man is riding in a horse.,A man practice horse riding.,A young girl is riding a horse,,,,,,,,,,,,,,,,,,,,,,
8,ljGcQocjSs4_38_60,A guy is shooting a gun.,A man fired a gun at some targets.,A man is firing a gun at targets.,A man is firing with a revolver.,A man is shooting a gun at a target range.,A man is target shooting.,A man picks up a gun and shoots down 5 targets.,A man shoots a gun at targets.,A man shoots a pistol at some targets.,A man shoots a single action revolver.,A man shoots targets with a pistol.,A person is firing a pistol at targets.,A person is shooting at targets with a pistol.,A person is shooting targets with a gun.,A person shoots a pistol.,A person shoots at and knocks down all six targets in a row.,Someone is shooting a gun.,The man is shooting a gun.,The man picked up his gun and fired at the targets.,A man is practicing to shoot.,the person is shoot them,the person practice the shooting with his gun,A man shoots a gun at targets.,a man is taking the gun.,A man picks up a pistol and shoots six targets in a row.,The person is shooting at the targets.,A person is shooting a handgun at distant targets.,A MAN IS SHOOTING SOMEONE TARGET.,A man is shooting a pistol.,Someone is firing a handgun.,A man is shooting.,A man doing some sort of shooting practise with a colt.,a man aiming with a pistol,A man aims a gun at a target in the distance.,A man shot with his gun,a man is firing his gun,Taurus Gaucho Replica Colt Single Action Army,Someone is shooting a revolver at targets down range.,A man is firing a gun.,the gun is shooting video,A man target shoots.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,n2NLoLNecgI_168_178,A girl is playing violin.,A lady played her violin.,A woman is demonstrating as to how to play a violin.,A woman is playing a violin.,A woman is playing a violin.,A woman is playing a violin.,A woman is playing a violin.,A woman is playing a violin.,A woman is playing the violin.,A woman is playing the violin.,A woman is playing the violin.,A woman is playing the violin.,A woman is playing the violin.,A woman is playing violin.,A woman plays a violin.,A woman plays the violin.,The lady played her violin.,The woman is playing the violin.,A Women Performing Violin.,She is playing music,the women is playing violin,A woman is playing Benzo.,A lady is playing violin,Lesson of violin.,A woman is playing a violin.,A woman is playing a piano.,A lady is playing the guitar.,A lady is playimg piano!,A woman is playing a violin.,A woman is playing the violin.,A woman is playing a violin.,A woman giving a violin lesson about vibrato on the violin.,A woman is playing the violin.,A woman is playing a violin.,A woman is playing a violen.,A woman plays the violin.,A Lady playing violin and singing,a lady playing a guitar,A women playing gitter,A woman explains playing violin.,The lady is practising with the voilin.,A woman is playing the violin.,A woman is playing a violin.,A woman is playing violin.,A lady playing violin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
